! This table was retrieved from http://syrte.obspm.fr/~lambert/fcn/table.txt
! It is updated each year

! --- Table generated on Mon Jul  1 14:09:59 CEST 2013
! Year      MJD     Cos     Sin      +-
!                ------ (microas) -----
1984.0  45700.0     4.5   -36.6    19.7
1985.0  46066.0  -141.8  -105.3    11.1
1986.0  46431.0  -246.6  -170.2     9.5
1987.0  46796.0  -281.9  -159.2     8.6
1988.0  47161.0  -255.0   -43.6     8.1
1989.0  47527.0  -210.5   -88.6     7.3
1990.0  47892.0  -187.8   -57.4     6.4
1991.0  48257.0  -163.0    26.3     5.5
1992.0  48622.0  -145.5    44.6     4.8
1993.0  48988.0  -145.1    51.5     5.9
1994.0  49353.0  -109.9    16.9     9.4
1995.0  49718.0   -87.3     5.4     8.3
1996.0  50083.0   -90.6     1.5     7.7
1997.0  50449.0   -94.7    35.3     4.4
1998.0  50814.0   -67.5    27.6     3.4
1999.0  51179.0   -44.1   -14.3     3.4
2000.0  51544.0     5.2   -74.9     3.3
2001.0  51910.0    70.4  -129.7     2.9
2002.0  52275.0    86.5  -127.8     2.8
2003.0  52640.0   110.4   -42.7     2.6
2004.0  53005.0   114.8    -0.1     2.5
2005.0  53371.0   133.0    -4.8     2.7
2006.0  53736.0   157.4    28.6     2.2
2007.0  54101.0   160.4    58.9     1.9
2008.0  54466.0   156.8   101.2     1.7
2009.0  54832.0   143.0   143.0     1.9
2010.0  55197.0    33.7   184.5     1.9
2011.0  55562.0     0.8   253.7     1.1
2012.0  55927.0    25.5   271.7     1.1
2013.0  56293.0   113.4   256.5     1.9
