# values extracted from IERS conventions 2003 table 6.3a

The in-phase (ip) amplitudes (A₁ δkfR Hf) and the out-of-phase (op) amplitudes
(A₁ δkfI Hf ) of the corrections for frequency dependence of k₂₁ , taking the nominal value k₂₁(0)
for the diurnal tides as (0.29830 − i 0.00144). Units: 10⁻¹² . The entries for δkfR and δkfI are in
units of 10⁻⁵ . Multipliers of the Doodson arguments identifying the tidal terms are given, as
also those of the Delaunay variables characterizing the nutations produced by these terms.

Name   deg/hr    Doodson  τ  s  h  p  N' ps   l  l' F  D  Ω  δkfR  δkfI     Amp.    Amp.
                   No.                                       10−5  10−5     (ip)    (op)
  2Q₁ 12.85429   125,755  1 -3  0  2   0  0   2  0  2  0  2    -29     3    -0.1     0.0
   σ₁ 12.92714   127,555  1 -3  2  0   0  0   0  0  2  2  2    -30     3    -0.1     0.0
      13.39645   135,645  1 -2  0  1  -1  0   1  0  2  0  1    -45     5    -0.1     0.0
   Q₁ 13.39866   135,655  1 -2  0  1   0  0   1  0  2  0  2    -46     5    -0.7     0.1
   ρ₁ 13.47151   137,455  1 -2  2 -1   0  0  -1  0  2  2  2    -49     5    -0.1     0.0
      13.94083   145,545  1 -1  0  0  -1  0   0  0  2  0  1    -82     7    -1.3     0.1
   O₁ 13.94303   145,555  1 -1  0  0   0  0   0  0  2  0  2    -83     7    -6.8     0.6
   τ₁ 14.02517   147,555  1 -1  2  0   0  0   0  0  0  2  0    -91     9     0.1     0.0
  Nτ₁ 14.41456   153,655  1  0 -2  1   0  0   1  0  2 -2  2   -168    14     0.1     0.0
      14.48520   155,445  1  0  0 -1  -1  0  -1  0  2  0  1   -193    16     0.1     0.0
  LK₁ 14.48741   155,455  1  0  0 -1   0  0  -1  0  2  0  2   -194    16     0.4     0.0
  NO₁ 14.49669   155,655  1  0  0  1   0  0   1  0  0  0  0   -197    16     1.3    -0.1
      14.49890   155,665  1  0  0  1   1  0   1  0  0  0  1   -198    16     0.3     0.0
   χ₁ 14.56955   157,455  1  0  2 -1   0  0  -1  0  0  2  0   -231    18     0.3     0.0
      14.57176   157,465  1  0  2 -1   1  0  -1  0  0  2  1   -233    18     0.1     0.0
   π₁ 14.91787   162,556  1  1 -3  0   0  1   0  1  2 -2  2   -834    58    -1.9     0.1
      14.95673   163,545  1  1 -2  0  -1  0   0  0  2 -2  1  -1117    76     0.5     0.0
   P₁ 14.95893   163,555  1  1 -2  0   0  0   0  0  2 -2  2  -1138    77   -43.4     2.9
      15.00000   164,554  1  1 -1  0   0 -1   0 -1  2 -2  2  -1764   104     0.6     0.0
   S₁ 15.00000   164,556  1  1 -1  0   0  1   0  1  0  0  0  -1764   104     1.6    -0.1
      15.02958   165,345  1  1  0 -2  -1  0  -2  0  2  0  1  -3048    92     0.1     0.0
      15.03665   165,535  1  1  0  0  -2  0   0  0  0  0 -2  -3630   195     0.1     0.0
      15.03886   165,545  1  1  0  0  -1  0   0  0  0  0 -1  -3845   229    -8.8     0.5
   K₁ 15.04107   165,555  1  1  0  0   0  0   0  0  0  0  0  -4084   262   470.9   -30.2
      15.04328   165,565  1  1  0  0   1  0   0  0  0  0  1  -4355   297    68.1    -4.6
      15.04548   165,575  1  1  0  0   2  0   0  0  0  0  2  -4665   334    -1.6     0.1
      15.07749   166,455  1  1  1 -1   0  0  -1  0  0  1  0  85693 21013     0.1     0.0
      15.07993   166,544  1  1  1  0  -1 -1   0 -1  0  0 -1  35203  2084    -0.1     0.0
   ψ₁ 15.08214   166,554  1  1  1  0   0 -1   0 -1  0  0  0  22794   358   -20.6    -0.3
      15.08214   166,556  1  1  1  0   0  1   0  1 -2  2 -2  22780   358     0.3     0.0
      15.08434   166,564  1  1  1  0   1 -1   0 -1  0  0  1  16842   -85    -0.3     0.0
      15.11392   167,355  1  1  2 -2   0  0  -2  0  0  2  0   3755  -189    -0.2     0.0
      15.11613   167,365  1  1  2 -2   1  0  -2  0  0  2  1   3552  -182    -0.1     0.0
   φ₁ 15.12321   167,555  1  1  2  0   0  0   0  0 -2  2 -2   3025  -160    -5.0     0.3
      15.12542   167,565  1  1  2  0   1  0   0  0 -2  2 -1   2892  -154     0.2     0.0
      15.16427   168,554  1  1  3  0   0 -1   0 -1 -2  2 -2   1638   -93    -0.2     0.0
   θ₁ 15.51259   173,655  1  2 -2  1   0  0   1  0  0 -2  0    370   -20    -0.5     0.0
      15.51480   173,665  1  2 -2  1   1  0   1  0  0 -2  1    369   -20    -0.1     0.0
      15.58323   175,445  1  2  0 -1  -1  0  -1  0  0  0 -1    325   -17     0.1     0.0
   J₁ 15.58545   175,455  1  2  0 -1   0  0  -1  0  0  0  0    324   -17    -2.1     0.1
      15.58765   175,465  1  2  0 -1   1  0  -1  0  0  0  1    323   -16    -0.4     0.0
  SO₁ 16.05697   183,555  1  3 -2  0   0  0   0  0  0 -2  0    194    -8    -0.2     0.0
      16.12989   185,355  1  3  0 -2   0  0  -2  0  0  0  0    185    -7    -0.1     0.0
  OO₁ 16.13911   185,555  1  3  0  0   0  0   0  0 -2  0 -2    184    -7    -0.6     0.0
      16.14131   185,565  1  3  0  0   1  0   0  0 -2  0 -1    184    -7    -0.4     0.0
      16.14352   185,575  1  3  0  0   2  0   0  0 -2  0  0    184    -7    -0.1     0.0
   ν₁ 16.68348   195,455  1  4  0 -1   0  0  -1  0 -2  0 -2    141    -4    -0.1     0.0
      16.68569   195,465  1  4  0 -1   1  0  -1  0 -2  0 -1    141    -4    -0.1     0.0
