# values extracted from IERS conventions 1996 table 6.2b

Corrections for frequency dependence of k₂₀⁽⁰⁾ of the zonal tides due to anelasticity. Units:
10⁻¹² . The nominal value k₂0 for the zonal tides is taken as 0.30190. The real and imaginary parts δkfR
and δkfI of δkf are listed, along with the corresponding in phase (ip) amplitude (A₀ Hf δkfR) and out
of phase (op) amplitude (−A₀ Hf δkfI) to be used in equation (5a). In the elastic case, k₂₀⁽⁰⁾= 0.29525 
for all the zonal tides, and no second step corrections are needed. 

Name   Doodson  deg/hr  τ s  h  p N' ps  l  l'  F  D  Ω    δkfR    Amp.     δkfI   Amp.
         No.                                                       (ip)            (op)
       55,565   0.00221 0 0  0  0  1  0  0  0   0  0  1   0.01347  16.6  -0.00541  -6.7
       55,575   0.00441 0 0  0  0  2  0  0  0   0  0  2   0.01124  -0.1  -0.00488   0.1
Sa     56,554   0.04107 0 0  1  0  0 -1  0 -1   0  0  0   0.00547  -1.2  -0.00349   0.8
Ssa    57,555   0.08214 0 0  2  0  0  0  0  0  -2  2 -2   0.00403  -5.5  -0.00315   4.3
       57,565   0.08434 0 0  2  0  1  0  0  0  -2  2 -1   0.00398   0.1  -0.00313  -0.1
       58,554   0.12320 0 0  3  0  0 -1  0 -1  -2  2 -2   0.00326  -0.3  -0.00296   0.2
Msm    63,655   0.47152 0 1 -2  1  0  0  1  0   0 -2  0   0.00101  -0.3  -0.00242   0.7
       65,445   0.54217 0 1  0 -1 -1  0 -1  0   0  0 -1   0.00080   0.1  -0.00237  -0.2
Mm     65,455   0.54438 0 1  0 -1  0  0 -1  0   0  0  0   0.00080  -1.2  -0.00237   3.7
       65,465   0.54658 0 1  0 -1  1  0 -1  0   0  0  1   0.00079   0.1  -0.00237  -0.2
       65,655   0.55366 0 1  0  1  0  0  1  0  -2  0 -2   0.00077   0.1  -0.00236  -0.2
Msf    73,555   1.01590 0 2 -2  0  0  0  0  0   0 -2  0  -0.00009   0.0  -0.00216   0.6
       75,355   1.08875 0 2  0 -2  0  0 -2  0   0  0  0  -0.00018   0.0  -0.00213   0.3
Mf     75,555   1.09804 0 2  0  0  0  0  0  0  -2  0 -2  -0.00019   0.6  -0.00213   6.3
       75,565   1.10024 0 2  0  0  1  0  0  0  -2  0 -1  -0.00019   0.2  -0.00213   2.6
       75,575   1.10245 0 2  0  0  2  0  0  0  -2  0  0  -0.00019   0.0  -0.00213   0.2
Mstm   83,655   1.56956 0 3 -2  1  0  0  1  0  -2 -2 -2  -0.00065   0.1  -0.00202   0.2
Mtm    85,455   1.64241 0 3  0 -1  0  0 -1  0  -2  0 -2  -0.00071   0.4  -0.00201   1.1
       85,465   1.64462 0 3  0 -1  1  0 -1  0  -2  0 -1  -0.00071   0.2  -0.00201   0.5
Msqm   93,555   2.11394 0 4 -2  0  0  0  0  0  -2 -2 -2  -0.00102   0.1  -0.00193   0.2
Mqm    95,355   2.18679 0 4  0 -2  0  0 -2  0  -2  0 -2  -0.00106   0.1  -0.00192   0.1
