# values extracted from IERS conventions 1996 table 6.2a

Amplitudes (A₁ δkf Hf) of the corrections for frequency dependence of k₂₁⁽⁰⁾ , taking the nominal value k₂₁
for the diurnal tides as 0.29470 for the elastic case, and (0.29830 -i 0.00144 for the anelastic case.
Units: 10⁻¹² . Multipliers of the Doodson arguments identifying the tidal terms are given, as
also those of the Delaunay variable.

Name   deg/hr    Doodson  τ  s  h  p  N' ps   l  l' F  D  Ω   δkfel     Amp.  δkfanel     Amp.
                   No.                                                 elas.             anel.

      13.39645   135,645  1 -2  0  1 -1  0    1  0  2  0  1 -0.00044   -0.1  -0.00045    -0.1
Q₁    13.39866   135,655  1 -2  0  1  0  0    1  0  2  0  2 -0.00044   -0.7  -0.00046    -0.7
ρ₁    13.47151   137,455  1 -2  2 -1  0  0   -1  0  2  2  2 -0.00047   -0.1  -0.00049    -0.1
      13.94083   145,545  1 -1  0  0 -1  0    0  0  2  0  1 -0.00081   -1.2  -0.00082    -1.3
O₁    13.94303   145,555  1 -1  0  0  0  0    0  0  2  0  2 -0.00081   -6.6  -0.00082    -6.7
Nτ₁   14.41456   153,655  1  0 -2  1  0  0    1  0  2 -2  2 -0.00167    0.1  -0.00168     0.1
LK₁   14.48741   155,455  1  0  0 -1  0  0   -1  0  2  0  2 -0.00193    0.4  -0.00193     0.4
NO₁   14.49669   155,655  1  0  0  1  0  0    1  0  0  0  0 -0.00196    1.3  -0.00197     1.3
      14.49890   155,665  1  0  0  1  1  0    1  0  0  0  1 -0.00197    0.2  -0.00198     0.3
χ₁    14.56955   157,455  1  0  2 -1  0  0   -1  0  0  2  0 -0.00231    0.3  -0.00231     0.3
π₁    14.91787   162,556  1  1 -3  0  0  1    0  1  2 -2  2 -0.00834   -1.9  -0.00832    -1.9
      14.95673   163,545  1  1 -2  0 -1  0    0  0  2 -2  1 -0.01114    0.5  -0.01111     0.5
P₁    14.95893   163,555  1  1 -2  0  0  0    0  0  2 -2  2 -0.01135  -43.3  -0.01132   -43.2
S₁    15.00000   164,556  1  1 -1  0  0  1    0  1  0  0  0 -0.01650    2.0  -0.01642     2.0
      15.03886   165,545  1  1  0  0 -1  0    0  0  0  0 -1 -0.03854   -8.8  -0.03846    -8.8
K₁    15.04107   165,555  1  1  0  0  0  0    0  0  0  0  0 -0.04093  472.0  -0.04085   471.0
      15.04328   165,565  1  1  0  0  1  0    0  0  0  0  1 -0.04365   68.3  -0.04357    68.2
      15.04548   165,575  1  1  0  0  2  0    0  0  0  0  2 -0.04678   -1.6  -0.04670    -1.6
ψ₁    15.08214   166,554  1  1  1  0  0 -1    0 -1  0  0  0  0.23083  -20.8   0.22609   -20.4
φ₁    15.12321   167,555  1  1  2  0  0  0    0  0 -2  2 -2  0.03051   -5.0   0.03027    -5.0
θ₁    15.51259   173,655  1  2 -2  1  0  0    1  0  0 -2  0  0.00374   -0.5   0.00371    -0.5
J₁    15.58545   175,455  1  2  0 -1  0  0   -1  0  0  0  0  0.00329   -2.1   0.00325    -2.1
      15.58765   175,465  1  2  0 -1  1  0   -1  0  0  0  1  0.00327   -0.4   0.00324    -0.4
SO₁   16.05697   183,555  1  3 -2  0  0  0    0  0  0 -2  0  0.00198   -0.2   0.00195    -0.2
OO₁   16.13911   185,555  1  3  0  0  0  0    0  0 -2  0 -2  0.00187   -0.7   0.00184    -0.6
      16.14131   185,565  1  3  0  0  1  0    0  0 -2  0 -1  0.00187   -0.4   0.00184    -0.4
